product_name,slug,description,category_slug,price,image,stock,is_available
শ্বাসপ্রশ্বাসযোগ্য শার্ট-13,13,"শ্বাসপ্রশ্বাসযোগ্য শার্ট-13 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,897,13.jpg,175,False
দৈনন্দিন ব্যবহারের টুপি-14,14,"দৈনন্দিন ব্যবহারের টুপি-14 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,2243,14.jpg,127,True
শ্বাসপ্রশ্বাসযোগ্য জুতা-15,15,"শ্বাসপ্রশ্বাসযোগ্য জুতা-15 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,1660,15.jpg,271,True
ফরমাল গেঞ্জি-16,16,"ফরমাল গেঞ্জি-16 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2869,16.jpg,88,True
দৈনন্দিন ব্যবহারের জুতা-17,17,"দৈনন্দিন ব্যবহারের জুতা-17 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,3384,17.jpg,257,True
প্রিমিয়াম কটন জুতা-18,18,"প্রিমিয়াম কটন জুতা-18 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,4134,18.jpg,286,False
শ্বাসপ্রশ্বাসযোগ্য জুতা-19,19,"শ্বাসপ্রশ্বাসযোগ্য জুতা-19 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,2179,19.jpg,118,False
স্লিম ফিট জুতা-20,20,"স্লিম ফিট জুতা-20 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,3397,20.jpg,268,True
উলের জামা-21,21,"উলের জামা-21 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,2788,21.jpg,298,True
লাইটওয়েট শার্ট-22,22,"লাইটওয়েট শার্ট-22 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,2209,22.jpg,252,True
ক্যাজুয়াল জুতা-23,23,"ক্যাজুয়াল জুতা-23 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,3402,23.jpg,67,True
ডিজাইনার পেন্ট-24,24,"ডিজাইনার পেন্ট-24 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,1787,24.jpg,23,True
ট্র্যাকিং গেঞ্জি-25,25,"ট্র্যাকিং গেঞ্জি-25 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2883,25.jpg,131,False
স্টাইলিশ জুতা-26,26,"স্টাইলিশ জুতা-26 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,2008,26.jpg,256,True
আরামদায়ক পেন্ট-27,27,"আরামদায়ক পেন্ট-27 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,1978,27.jpg,29,False
আধুনিক গেঞ্জি-28,28,"আধুনিক গেঞ্জি-28 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,1846,28.jpg,129,True
ডিজাইনার জামা-29,29,"ডিজাইনার জামা-29 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,2254,29.jpg,179,True
উন্নত মানের পেন্ট-30,30,"উন্নত মানের পেন্ট-30 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,2352,30.jpg,141,True
উন্নত মানের টুপি-31,31,"উন্নত মানের টুপি-31 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,1817,31.jpg,257,True
উলের জুতা-32,32,"উলের জুতা-32 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,3819,32.jpg,72,True
কম্প্যাক্ট জামা-33,33,"কম্প্যাক্ট জামা-33 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,1276,33.jpg,299,True
উন্নত মানের টুপি-34,34,"উন্নত মানের টুপি-34 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,1106,34.jpg,79,True
প্রিমিয়াম কটন পেন্ট-35,35,"প্রিমিয়াম কটন পেন্ট-35 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,607,35.jpg,247,True
ফ্যাশনেবল গেঞ্জি-36,36,"ফ্যাশনেবল গেঞ্জি-36 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2485,36.jpg,265,False
ফ্যাশনেবল টুপি-37,37,"ফ্যাশনেবল টুপি-37 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,2873,37.jpg,214,True
স্টাইলিশ গেঞ্জি-38,38,"স্টাইলিশ গেঞ্জি-38 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2185,38.jpg,252,False
আধুনিক জামা-39,39,"আধুনিক জামা-39 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,453,39.jpg,255,False
লাইটওয়েট গেঞ্জি-40,40,"লাইটওয়েট গেঞ্জি-40 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2820,40.jpg,128,True
গ্রাফিক টুপি-41,41,"গ্রাফিক টুপি-41 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,1642,41.jpg,285,True
স্টাইলিশ জামা-42,42,"স্টাইলিশ জামা-42 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,463,42.jpg,284,True
উলের জুতা-43,43,"উলের জুতা-43 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,4751,43.jpg,152,True
নরম গেঞ্জি-44,44,"নরম গেঞ্জি-44 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2254,44.jpg,200,True
নরম পেন্ট-45,45,"নরম পেন্ট-45 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,1801,45.jpg,285,True
কম্প্যাক্ট পেন্ট-46,46,"কম্প্যাক্ট পেন্ট-46 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,638,46.jpg,173,True
ট্র্যাকিং শার্ট-47,47,"ট্র্যাকিং শার্ট-47 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,2468,47.jpg,232,True
দৈনন্দিন ব্যবহারের জামা-48,48,"দৈনন্দিন ব্যবহারের জামা-48 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,1549,48.jpg,159,True
ফ্যাশনেবল জুতা-49,49,"ফ্যাশনেবল জুতা-49 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,4503,49.jpg,76,True
টেকসই গেঞ্জি-50,50,"টেকসই গেঞ্জি-50 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,1160,50.jpg,52,True
মার্জিত জুতা-51,51,"মার্জিত জুতা-51 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,1994,51.jpg,40,True
স্পোর্টস পেন্ট-52,52,"স্পোর্টস পেন্ট-52 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,1409,52.jpg,122,True
আরামদায়ক শার্ট-53,53,"আরামদায়ক শার্ট-53 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,2852,53.jpg,240,False
টেকসই জামা-54,54,"টেকসই জামা-54 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,875,54.jpg,27,True
আউটডোর জুতা-55,55,"আউটডোর জুতা-55 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,2894,55.jpg,193,True
আউটডোর পেন্ট-56,56,"আউটডোর পেন্ট-56 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,2676,56.jpg,291,False
টেকসই পেন্ট-57,57,"টেকসই পেন্ট-57 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,2485,57.jpg,48,False
লাইটওয়েট পেন্ট-58,58,"লাইটওয়েট পেন্ট-58 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,2954,58.jpg,127,True
স্লিম ফিট পেন্ট-59,59,"স্লিম ফিট পেন্ট-59 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,1880,59.jpg,104,True
কম্প্যাক্ট পেন্ট-60,60,"কম্প্যাক্ট পেন্ট-60 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,2893,60.jpg,35,True
সাদা টুপি-61,61,"সাদা টুপি-61 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,2041,61.jpg,108,True
ভিন্টেজ শার্ট-62,62,"ভিন্টেজ শার্ট-62 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,2171,62.jpg,103,True
স্পোর্টস টুপি-63,63,"স্পোর্টস টুপি-63 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,2685,63.jpg,257,True
ফরমাল গেঞ্জি-64,64,"ফরমাল গেঞ্জি-64 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,929,64.jpg,108,False
স্লিম ফিট শার্ট-65,65,"স্লিম ফিট শার্ট-65 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,1545,65.jpg,251,False
উলের টুপি-66,66,"উলের টুপি-66 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,2999,66.jpg,216,False
ডিজাইনার জামা-67,67,"ডিজাইনার জামা-67 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,1352,67.jpg,41,True
টেকসই জামা-68,68,"টেকসই জামা-68 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,2025,68.jpg,132,True
নরম পেন্ট-69,69,"নরম পেন্ট-69 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,904,69.jpg,124,True
এলিগেন্ট জামা-70,70,"এলিগেন্ট জামা-70 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,2025,70.jpg,135,True
ফরমাল জুতা-71,71,"ফরমাল জুতা-71 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,3594,71.jpg,140,True
মার্জিত টুপি-72,72,"মার্জিত টুপি-72 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,1975,72.jpg,72,True
সাদা পেন্ট-73,73,"সাদা পেন্ট-73 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,1220,73.jpg,86,False
কম্প্যাক্ট পেন্ট-74,74,"কম্প্যাক্ট পেন্ট-74 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,855,74.jpg,295,True
দৈনন্দিন ব্যবহারের গেঞ্জি-75,75,"দৈনন্দিন ব্যবহারের গেঞ্জি-75 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2414,75.jpg,295,True
শ্বাসপ্রশ্বাসযোগ্য জামা-76,76,"শ্বাসপ্রশ্বাসযোগ্য জামা-76 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,1779,76.jpg,216,True
উলের গেঞ্জি-77,77,"উলের গেঞ্জি-77 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,1173,77.jpg,116,False
দৈনন্দিন ব্যবহারের টুপি-78,78,"দৈনন্দিন ব্যবহারের টুপি-78 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,1597,78.jpg,188,True
ফরমাল টুপি-79,79,"ফরমাল টুপি-79 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,931,79.jpg,117,True
আধুনিক জামা-80,80,"আধুনিক জামা-80 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,560,80.jpg,157,True
গ্রাফিক পেন্ট-81,81,"গ্রাফিক পেন্ট-81 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,1397,81.jpg,56,True
আউটডোর শার্ট-82,82,"আউটডোর শার্ট-82 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,1500,82.jpg,298,True
সাদা জামা-83,83,"সাদা জামা-83 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,2221,83.jpg,59,True
স্পোর্টস জুতা-84,84,"স্পোর্টস জুতা-84 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,1711,84.jpg,50,True
লাইটওয়েট শার্ট-85,85,"লাইটওয়েট শার্ট-85 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,2024,85.jpg,257,False
দৈনন্দিন ব্যবহারের গেঞ্জি-86,86,"দৈনন্দিন ব্যবহারের গেঞ্জি-86 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2860,86.jpg,146,True
কম্প্যাক্ট টুপি-87,87,"কম্প্যাক্ট টুপি-87 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,2825,87.jpg,94,True
স্টাইলিশ জুতা-88,88,"স্টাইলিশ জুতা-88 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,4540,88.jpg,47,True
টেকসই টুপি-89,89,"টেকসই টুপি-89 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,1162,89.jpg,241,True
মার্জিত জুতা-90,90,"মার্জিত জুতা-90 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,1690,90.jpg,172,False
ফরমাল গেঞ্জি-91,91,"ফরমাল গেঞ্জি-91 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,1518,91.jpg,14,True
দৈনন্দিন ব্যবহারের জামা-92,92,"দৈনন্দিন ব্যবহারের জামা-92 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,2451,92.jpg,258,False
ফ্যাশনেবল গেঞ্জি-93,93,"ফ্যাশনেবল গেঞ্জি-93 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2776,93.jpg,144,True
টেকসই শার্ট-94,94,"টেকসই শার্ট-94 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,2476,94.jpg,69,True
এলিগেন্ট টুপি-95,95,"এলিগেন্ট টুপি-95 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,658,95.jpg,120,True
ভিন্টেজ জামা-96,96,"ভিন্টেজ জামা-96 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",jama,1184,96.jpg,84,True
গ্রাফিক পেন্ট-97,97,"গ্রাফিক পেন্ট-97 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,1211,97.jpg,245,False
ভিন্টেজ টুপি-98,98,"ভিন্টেজ টুপি-98 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",tupi,2557,98.jpg,91,False
ফরমাল জুতা-99,99,"ফরমাল জুতা-99 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,3505,99.jpg,111,False
স্টাইলিশ জুতা-100,100,"স্টাইলিশ জুতা-100 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,3638,100.jpg,144,True
সাদা জুতা-101,101,"সাদা জুতা-101 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",juta,3398,101.jpg,207,True
টেকসই শার্ট-102,102,"টেকসই শার্ট-102 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",shirt,496,102.jpg,181,False
প্রিমিয়াম কটন গেঞ্জি-103,103,"প্রিমিয়াম কটন গেঞ্জি-103 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",genji,2086,103.jpg,180,True
এলিগেন্ট পেন্ট-104,104,"এলিগেন্ট পেন্ট-104 এর বিবরণ: উচ্চ মানের উপাদান দিয়ে তৈরি, এটি প্রতিদিনের ব্যবহারের জন্য আরামদায়ক এবং স্টাইলিশ।",pant,792,104.jpg,268,True
